日期,脖子（最细处）,胸围（乳头水平，深呼吸后放松）,臂围（放松臂，二头最粗处）,腰围（肚脐水平）,臀围（最宽处）,大腿根部
2026-08-21,35.5,100,30.5,86,97,62
2026-08-17,36.5,100,31,87,97.5,62
2026-08-01,36.2,100,31,87,98,61
2026-07-12,37,102,32,88,99,64
2026-07-01,37.5,100,31,89,100,63
2026-06-26,38,101,31,89.5,100,62
2026-06-16,37,102,30.5,91,100,64
2026-06-08,38,103,31,94,102,64
2026-06-01,38,103,32,95,101,64
2026-05-09,38,103,31,95,101,64
2026-04-28,38,104,31.5,97,104,65.5
2026-04-18,39,105,33,99,105,66
2026-04-06,39,106,32,103,106,68
2026-03-29,40,107,33,104,107,68
2026-03-20,41,107,33,105,108,68
2026-03-05,42,112,34,107,108,69
2026-02-27,41,114,35,109,110,71
