序号,日期,运动时长,坐立卷腹机,曲臂伸机,高位下拉机,腿屈伸机,臀桥/臀桥机,肩部推举,蝴蝶夹胸,胸飞鸟,髋外展/内收,俯身倒蹬,划船机(配速/距离/功率/时间/频率)
1,04-23,约 120 分钟,卷腹机40kg×12×3 未做,坐姿杠铃弯举15kg×12×4 未做,斜高位下拉（双边）20kg×14×4,腿屈伸68kg×12×4；腿弯举27kg×14×4 未做,臀桥60kg×12×4 未做；自由深蹲50kg×14×4 未做,斜上肩推（双边）10kg×14×4,胸部推举32kg×14×4,飞鸟夹胸35kg×12×4 未做,髋外展68kg×12×4 未做；髋内收77kg×12×4 未做,–,快走10min热身；训后拉伸：最伟大拉伸、猫牛式、胸部拉伸；死虫式7×8；坐姿划船36kg×12×4；划船机3000m 13:35.4，均速约2:15.9/500m（机显）
2,04-22,约 120 分钟,卷腹机40kg×12×3 未做,坐姿杠铃弯举15kg×12×4 未做,斜高位下拉（双边）20kg×14×4,腿屈伸68kg×12×4；腿弯举27kg×14×4,臀桥60kg×12×4 未做；自由深蹲50kg×14×4 未做,斜上肩推（双边）10kg×14×4,胸部推举32kg×14×4,飞鸟夹胸35kg×12×4 未做,髋外展68kg×12×4 未做；髋内收77kg×12×4 未做,–,快走10min热身；训后拉伸：最伟大拉伸、猫牛式、胸部拉伸；死虫式7×8；划船机3000m（未记机显配速/时间）
3,04-21,约 120 分钟,卷腹机40kg×12×3 未做,坐姿杠铃弯举15kg×12×4 未做,斜高位下拉（双边）20kg×14×4,腿屈伸68kg×12×4；腿弯举27kg×14×4,臀桥60kg×12×4 未做；自由深蹲50kg×14×4 未做,斜上肩推（双边）10kg×14×4,胸部推举32kg×14×4,飞鸟夹胸35kg×12×4 未做,髋外展68kg×12×4 未做；髋内收77kg×12×4 未做,–,快走10min热身；训后拉伸：最伟大拉伸、猫牛式、胸部拉伸；死虫式7×8；坐姿划船36kg×12×4 未做；划船机3000m约12:52.1，均速约2:08.6/500m（机显）
4,04-20,约 150 分钟,–,–,–,–,–,–,–,–,–,–,游泳：蛙泳约2.5h；25米池×16来回（约800m）
5,04-19,约 120 分钟,卷腹机40kg×12×3 未做,坐姿杠铃弯举15kg×12×4 未做,斜高位下拉（双边）20kg×14×4,腿屈伸68kg×12×4 未做；腿弯举32kg×12×4 未做,臀桥60kg×12×4 未做；自由深蹲50kg×14×4,斜上肩推（双边）10kg×14×4,胸部推举32kg×14×4,飞鸟夹胸35kg×12×4 未做,髋外展68kg×12×4 未做；髋内收77kg×12×4 未做,–,快走10min热身；训后拉伸：最伟大拉伸、猫牛式、胸部拉伸；死虫式5×8；坐姿划船36kg×12×4；划船机3000m约14:04.2，均速约2:20.7/500m（机显）
6,04-17,约 150 分钟,卷腹机40kg×12×3 未做,坐姿杠铃弯举15kg×12×4 未做,斜高位下拉（双边）20kg×14×4,腿屈伸68kg×12×4 未做,臀桥60kg×12×4 未做；自由深蹲60kg×12×4 未做,斜上肩推（双边）10kg×14×4,胸部推举32kg×14×4,飞鸟夹胸35kg×12×4 未做,髋外展68kg×12×4 未做；髋内收77kg×12×4 未做,–,快走10min热身；训后拉伸：最伟大拉伸、猫牛式、胸部拉伸；死虫式8×4；坐姿划船36kg×12×4；划船机3000m，总时长约13:42.8，均速约2:17.1/500m（机显）
7,04-16,约 150 分钟,卷腹机40kg×12×3 未做,坐姿杠铃弯举15kg×12×4 未做,斜高位下拉（双边）20kg×14×4,腿弯举32kg×12×4,臀桥60kg×12×4 未做；自由深蹲60kg×12×4 未做,斜上肩推（双边）10kg×14×4,胸部推举32kg×14×4,飞鸟夹胸35kg×12×4 未做,髋外展68kg×12×4 未做；髋内收77kg×12×4 未做,–,快走10min热身；训后拉伸：最伟大拉伸、猫牛式、胸部拉伸；平板支撑35s×3；死虫式8×4；坐姿划船36kg×12×4；划船机3500m约16:27，平均功率约127W
8,04-15,约 120 分钟,卷腹机40kg×12×3 未做,坐姿杠铃弯举15kg×12×4 未做,斜高位下拉（双边）30kg×12×4,腿屈伸68kg×12×4 未做,臀桥60kg×12×4,斜上肩推（双边）15kg×12×4,胸部推举41kg×12×4,飞鸟夹胸35kg×12×4 未做,髋外展68kg×12×4 未做；髋内收77kg×12×4 未做,–,快走10min热身；训后拉伸：最伟大拉伸、猫牛式、胸部拉伸；坐姿划船36kg×12×4 未做；战绳13min（20s摔/10s休×20组）未做；划船机12×250m/间休45s，总约11:48，距离3000m，均速约1:58/500m（机显）；平板支撑60s×4 未做
9,04-14,约 150 分钟,卷腹机40kg×12×3 未做,坐姿杠铃弯举15kg×12×4,斜高位下拉（双边）30kg×12×4,腿屈伸68kg×12×4 未做,自由深蹲60kg×12×4+80kg×2+100kg×2,斜上肩推（双边）12.5kg×12×4,胸部推举41kg×14×4,飞鸟夹胸35kg×12×4 未做,髋外展68kg×12×4 未做；髋内收77kg×12×4 未做,–,快走10min热身；训后拉伸：最伟大拉伸、猫牛式、胸部拉伸；战绳13min（20s摔/10s休×20组）未做；滑雪风阻机 未做；划船机20min，3200m
10,04-12,约 150 分钟,卷腹机40kg×12×3 未做,坐姿杠铃弯举15kg×12×4 未做,斜高位下拉（双边）30kg×12×4,腿屈伸68kg×12×4 未做,自由深蹲50kg×12×4 未做,斜上肩推（双边）15kg×8×4 未做,胸部推举36kg×14×4 未做,飞鸟夹胸35kg×12×4 未做,髋外展68kg×12×4；髋内收77kg×12×4,–,快走10min热身；训后拉伸：最伟大拉伸、猫牛式、胸部拉伸；平板支撑60s×4；坐姿划船36kg×12×4；战绳13min（20s摔/10s休×20组）未做；滑雪风阻机 未做；划船机20min，3200m，均速0:55/500m
