日期,体重kg,体脂率
07-24,80.9,23.4
07-23,80.9,23.3
07-22,80.6,23.0
07-21,80.6,23.2
07-20,80.5,23.1
07-19,80.6,23.3
07-18,80.3,23.3
07-17,80.7,23.4
07-16,81.1,23.7
07-15,80.3,23.4
07-14,80.9,23.6
07-13,81.3,23.8
07-12,81.6,23.9
07-11,82.1,24.1
07-10,82.0,23.7
07-09,81.5,23.8
07-08,81.7,23.8
07-06,82.4,24.2
07-05,81.9,24.0
07-04,81.0,23.7
07-04,81.5,23.9
07-04,81.5,23.9
07-03,81.2,23.6
07-02,82.0,23.9
07-01,81.9,24.0
06-30,81.8,23.9
06-29,81.7,23.9
06-28,83.0,24.5
06-27,82.5,24.3
06-26,82.3,24.2
06-25,82.2,24.0
06-24,83.4,24.5
06-23,83.2,24.6
06-22,82.8,24.5
06-21,82.5,24.5
06-20,83.2,24.6
06-19,83.8,24.9
06-18,84.1,24.9
06-17,83.9,24.9
06-16,83.8,25.0
06-15,83.3,24.9
06-14,84.2,25.3
06-13,83.8,25.0
06-12,84.5,25.3
06-11,84.2,25.2
06-10,83.6,25.0
06-09,84.5,25.2
06-08,85.1,25.3
06-07,84.6,25.1
06-06,85.6,25.4
06-05,84.3,25.1
06-04,84.3,25.1
06-03,84.8,25.4
06-02,84.6,25.2
06-01,86.1,25.7
05-31,86.3,25.8
05-30,86.0,25.7
05-29,85.9,25.7
05-28,85.8,25.7
05-27,84.9,25.4
05-26,84.5,25.2
05-25,85.1,25.4
05-24,85.7,25.6
05-03,86.4,26.1
05-02,87.0,26.3
05-01,86.6,26.2
05-01,87.3,26.5
04-30,86.7,26.4
04-30,86.7,24.4
04-23,86.9,26.5
04-22,87.9,26.7
04-21,87.5,26.7
04-20,87.9,26.8
04-19,89.2,27.1
04-18,88.0,26.9
04-17,88.0,26.9
04-16,88.1,27.0
04-15,88.5,27.2
04-14,88.5,27.2
04-13,89.1,27.4
04-12,88.9,27.3
04-11,89.6,27.55
04-08,91.1,28.0
04-07,91.1,28.0
04-04,90.3,27.8
04-03,90.2,27.7
03-28,93.2,28.7
03-26,93.0,28.7
03-20,93.7,28.7
03-19,93.9,28.9
03-14,93.3,28.7
03-12,94.3,29.2
03-12,95.3,29.5
03-09,95.4,29.6
03-07,94.8,29.4
03-05,95.5,29.5
03-01,95.6,29.6
02-27,96.9,29.8
02-27,97.2,29.8
02-27,97.2,29.8
02-24,97.2,30.0
