序号,日期,运动时长,坐立卷腹机,曲臂伸机,坐姿器械侧平举,卧推,高位下拉机,腿屈伸机,臀桥/臀桥机,肩部推举,蝴蝶夹胸,胸飞鸟,反向飞鸟,坐姿划船,硬拉,背靠哈克深蹲,正面哈克深蹲,髋外展/内收,俯身倒蹬,动物流,划船机(配速/距离/功率/时间/频率)
1,04-28,约 180 分钟,–,–,–,–,–,腿弯举27kg×12×4,–,–,–,–,–,–,–,反哈克深蹲40kg×12×4,正哈克深蹲40kg×12×4,–,–,动物流3遍：猿式→猿式伸展→转换到蓄力兽式→兽式→兽式上步→虎式→兽式转换到蟹式→回到兽式→转换到蟹式伸展→回到兽式→侧踢贯穿→回到兽式→再回到猿式,深蹲50/60/70/80kg 递增×12×4；划船机间歇250m×12，平均功率198W
2,04-27,约 120 分钟,–,二头弯举15kg×12×4,–,–,高位下拉20kg×12×4,–,–,–,–,–,反向飞鸟55kg×12×4,坐姿划船32kg×12×4,–,–,–,–,–,死虫式8×8；划船机：250m×8（接近全力），间休1min；总约20min,
3,04-26,约 180 分钟,卷腹机40kg×12×3 未做,器械二头弯举32kg×12×4 未做；坐姿杠铃弯举15kg×12×4 未做,坐姿器械侧平举27kg×12×4 未做,卧推：空杆×8 + 10kg×12 + 20kg×12×2（未做）,高位下拉25kg×12×4,腿屈伸68kg×12×4 未做；腿弯举27kg×14×4 未做,臀桥60kg×12×4 未做,斜上肩推10kg×14×4 未做,胸部推举36kg×12×4 未做,飞鸟夹胸35kg×12×4 未做,反向飞鸟55kg×12×4,–,硬拉60kg×20,背靠哈克深蹲30kg×12×4,正面哈克深蹲30kg×12×2+50kg×12+70kg×12,髋外展68kg×12×4 未做；髋内收77kg×12×4 未做,–,快走10min热身；训后拉伸：最伟大拉伸、猫牛式、胸部拉伸；自由深蹲40/60/80kg 每组12次；划船机4×500m/间休1:00，总2000m 8:09.1，均速约2:02.2/500m（机显）,
4,04-25,约 150 分钟,卷腹机40kg×12×3 未做,器械二头弯举32kg×12×4 未做；坐姿杠铃弯举15kg×12×4 未做,坐姿器械侧平举27kg×12×4,卧推：空杆×8 + 10kg×12 + 20kg×12×2（动作标准，但胸肌感觉弱/小臂酸）,高位下拉20kg×14×4,腿屈伸68kg×12×4 未做；腿弯举27kg×14×4 未做,臀桥60kg×12×4 未做,斜上肩推10kg×14×4 未做,胸部推举36kg×12×4,飞鸟夹胸35kg×12×4 未做,反向飞鸟55kg×12×4,坐姿划船32kg×14×4,–,–,–,髋外展68kg×12×4 未做；髋内收77kg×12×4 未做,–,快走10min热身；训后拉伸：最伟大拉伸、猫牛式、胸部拉伸；死虫式8×8；划船机1175m 5:48.0，均速约2:28.0/500m（机显）；另500m 1:43.0（均速约1:43.0/500m）,
5,04-24,约 150 分钟,卷腹机40kg×12×3 未做,器械二头弯举递减：36/32/27/27kg 各12,坐姿器械侧平举32kg×12×4,–,高位下拉20kg×14×4,腿屈伸68kg×12×4 未做；腿弯举27kg×14×4 未做,臀桥60kg×12×4 未做,斜上肩推10kg×14×4 未做,胸部推举36kg×12×4,飞鸟夹胸35kg×12×4 未做,–,坐姿划船32kg×14×4,–,–,–,髋外展68kg×12×4 未做；髋内收77kg×12×4 未做,–,快走10min热身；训后拉伸：最伟大拉伸、猫牛式、胸部拉伸；死虫式8×8；划船机3000m 12:39.3，均速约2:06.5/500m，平均功率约173W，平均划频约32spm（机显；最后100m冲刺功率300W+，峰值约347W）,
6,04-23,约 120 分钟,卷腹机40kg×12×3 未做,坐姿杠铃弯举15kg×12×4 未做,斜高位下拉（双边）20kg×14×4,腿屈伸68kg×12×4；腿弯举27kg×14×4 未做,臀桥60kg×12×4 未做；自由深蹲50kg×14×4 未做,斜上肩推（双边）10kg×14×4,胸部推举32kg×14×4,飞鸟夹胸35kg×12×4 未做,髋外展68kg×12×4 未做；髋内收77kg×12×4 未做,–,快走10min热身；训后拉伸：最伟大拉伸、猫牛式、胸部拉伸；死虫式7×8；坐姿划船36kg×12×4；划船机3000m 13:35.4，均速约2:15.9/500m（机显）,,,,,,,,
7,04-22,约 120 分钟,卷腹机40kg×12×3 未做,坐姿杠铃弯举15kg×12×4 未做,斜高位下拉（双边）20kg×14×4,腿屈伸68kg×12×4；腿弯举27kg×14×4,臀桥60kg×12×4 未做；自由深蹲50kg×14×4 未做,斜上肩推（双边）10kg×14×4,胸部推举32kg×14×4,飞鸟夹胸35kg×12×4 未做,髋外展68kg×12×4 未做；髋内收77kg×12×4 未做,–,快走10min热身；训后拉伸：最伟大拉伸、猫牛式、胸部拉伸；死虫式7×8；划船机3000m（未记机显配速/时间）,,,,,,,,
8,04-21,约 120 分钟,卷腹机40kg×12×3 未做,坐姿杠铃弯举15kg×12×4 未做,斜高位下拉（双边）20kg×14×4,腿屈伸68kg×12×4；腿弯举27kg×14×4,臀桥60kg×12×4 未做；自由深蹲50kg×14×4 未做,斜上肩推（双边）10kg×14×4,胸部推举32kg×14×4,飞鸟夹胸35kg×12×4 未做,髋外展68kg×12×4 未做；髋内收77kg×12×4 未做,–,快走10min热身；训后拉伸：最伟大拉伸、猫牛式、胸部拉伸；死虫式7×8；坐姿划船36kg×12×4 未做；划船机3000m约12:52.1，均速约2:08.6/500m（机显）,,,,,,,,
9,04-20,约 150 分钟,–,–,–,–,–,–,–,–,–,–,游泳：蛙泳约2.5h；25米池×16来回（约800m）,,,,,,,,
10,04-19,约 120 分钟,卷腹机40kg×12×3 未做,坐姿杠铃弯举15kg×12×4 未做,斜高位下拉（双边）20kg×14×4,腿屈伸68kg×12×4 未做；腿弯举32kg×12×4 未做,臀桥60kg×12×4 未做；自由深蹲50kg×14×4,斜上肩推（双边）10kg×14×4,胸部推举32kg×14×4,飞鸟夹胸35kg×12×4 未做,髋外展68kg×12×4 未做；髋内收77kg×12×4 未做,–,快走10min热身；训后拉伸：最伟大拉伸、猫牛式、胸部拉伸；死虫式5×8；坐姿划船36kg×12×4；划船机3000m约14:04.2，均速约2:20.7/500m（机显）,,,,,,,,
